lat,long,corrected_magnetic
37.0311,-113.525,-50.4
37.0311,-113.5255,-44.9
37.0311,-113.526,-44.9
37.0311,-113.5265,-43.8
37.0311,-113.527,-46.8
37.0311,-113.5274,-42.8
37.0311,-113.5279,-46.2
37.0311,-113.5284,-40.8
37.0311,-113.5289,-41.8
37.0311,-113.5294,-46.1
37.0311,-113.5299,-41.6
37.0311,-113.5304,-38.8
37.0311,-113.5309,-35.0
37.0311,-113.5314,-42.4
37.0311,-113.5319,-46.0
37.0311,-113.5324,-43.5
37.0311,-113.5329,-39.8
37.0311,-113.5334,-39.2
37.0311,-113.5339,-40.3
37.0311,-113.5344,-37.0
37.0311,-113.5348,-37.0
37.0311,-113.5353,-37.1
37.0311,-113.5358,-38.4
37.0311,-113.5363,-42.2
37.031,-113.5368,-36.4
37.031,-113.5373,-38.6
37.031,-113.5378,-38.9
37.031,-113.5383,-43.9
37.031,-113.5388,-39.7
37.031,-113.5393,-33.1
37.031,-113.5398,-48.8
37.031,-113.5403,-34.8
37.031,-113.5408,-42.6
37.031,-113.5413,-38.6
37.031,-113.5417,-38.4
37.031,-113.5422,-38.2
37.031,-113.5427,-45.2
37.031,-113.5432,-38.3
37.031,-113.5437,-37.6
37.031,-113.5442,-42.9
37.031,-113.5447,-40.4
37.031,-113.5452,-47.1
37.031,-113.5457,-41.5
37.031,-113.5462,-52.5
37.031,-113.5467,-40.6
37.031,-113.5472,-39.6
37.031,-113.5477,-43.4
37.031,-113.5482,-51.2
37.031,-113.5487,-50.4
37.031,-113.5491,-42.5
37.0309,-113.5496,-47.6
37.0309,-113.5501,-41.6
37.0309,-113.5506,-44.1
37.0309,-113.5511,-46.9
37.0309,-113.5516,-45.0
37.0309,-113.5521,-44.8
37.0309,-113.5526,-51.6
37.0309,-113.5531,-45.3
37.0309,-113.5536,-53.7
37.0309,-113.5541,-45.7
37.0309,-113.5546,-44.1
37.0309,-113.5551,-41.9
37.0309,-113.5556,-44.5
37.0309,-113.556,-43.7
37.0309,-113.5565,-42.3
37.0309,-113.557,-48.3
37.0309,-113.5575,-47.6
37.0309,-113.558,-45.5
37.0309,-113.5585,-50.0
37.0309,-113.559,-44.4
37.0309,-113.5595,-59.7
37.0309,-113.56,-52.3
37.0309,-113.5605,-47.6
37.0309,-113.561,-43.7
37.0309,-113.5615,-49.7
37.0309,-113.562,-51.9
37.0309,-113.5625,-56.5
37.0308,-113.5629,-48.4
37.0308,-113.5634,-54.3
37.0308,-113.5639,-54.5
37.0308,-113.5644,-52.2
37.0308,-113.5649,-47.9
37.0308,-113.5654,-48.6
37.0308,-113.5659,-55.4
37.0308,-113.5664,-48.8
37.0308,-113.5669,-49.1
37.0308,-113.5674,-51.8
37.0308,-113.5679,-50.2
37.0308,-113.5684,-52.7
37.0308,-113.5689,-53.4
37.0308,-113.5694,-42.7
37.0308,-113.5699,-42.7
37.0308,-113.5703,-45.5
37.0308,-113.5708,-44.1
37.0308,-113.5713,-49.1
37.0308,-113.5718,-50.8
37.0308,-113.5723,-51.8
37.0308,-113.5728,-47.8
37.0308,-113.5733,-43.9
37.0308,-113.5738,-47.0
