lat,long,corrected_magnetic
38.0264,-112.9047,-8.4
38.0264,-112.9052,2.2
38.0265,-112.9057,13.9
38.0265,-112.9062,31.1
38.0265,-112.9067,50.0
38.0265,-112.9071,60.0
38.0266,-112.9076,73.0
38.0266,-112.9081,77.2
38.0266,-112.9086,80.8
38.0266,-112.9091,83.0
38.0267,-112.9096,86.3
38.0267,-112.9101,91.8
38.0267,-112.9106,95.8
38.0267,-112.9111,96.8
38.0268,-112.9116,100.3
38.0268,-112.9121,103.8
38.0268,-112.9126,106.8
38.0269,-112.9131,111.9
38.0269,-112.9136,114.7
38.0269,-112.9141,117.2
38.0269,-112.9145,120.0
38.027,-112.915,121.7
38.027,-112.9155,122.9
38.027,-112.916,125.1
38.027,-112.9165,126.6
38.0271,-112.917,130.2
38.0271,-112.9175,134.9
38.0271,-112.918,138.3
38.0271,-112.9185,144.2
38.0272,-112.919,150.3
38.0272,-112.9195,156.1
38.0272,-112.92,163.7
38.0273,-112.9205,172.0
38.0273,-112.921,179.3
38.0273,-112.9215,184.6
38.0273,-112.9219,187.2
38.0274,-112.9224,182.8
38.0274,-112.9229,176.0
38.0274,-112.9234,172.8
38.0274,-112.9239,171.4
38.0275,-112.9244,172.6
38.0275,-112.9249,174.4
38.0275,-112.9254,173.6
38.0275,-112.9259,171.0
38.0276,-112.9264,173.4
38.0276,-112.9269,174.8
38.0276,-112.9274,171.3
38.0277,-112.9279,173.5
38.0277,-112.9284,166.1
38.0277,-112.9288,156.2
38.0277,-112.9293,148.4
38.0278,-112.9298,139.9
38.0278,-112.9303,133.5
38.0278,-112.9308,126.0
38.0278,-112.9313,118.3
38.0279,-112.9318,112.6
38.0279,-112.9323,108.1
38.0279,-112.9328,105.6
38.0279,-112.9333,105.1
38.028,-112.9338,102.6
38.028,-112.9343,102.1
38.028,-112.9348,107.6
38.028,-112.9352,111.3
38.028,-112.9357,115.3
38.028,-112.9362,121.0
38.028,-112.9367,122.1
38.028,-112.9371,125.6
38.028,-112.9376,127.6
38.028,-112.9381,129.0
38.028,-112.9386,133.7
38.028,-112.939,132.8
38.028,-112.9395,134.2
38.028,-112.94,135.9
38.028,-112.9405,138.0
38.028,-112.9409,142.2
38.028,-112.9414,145.5
38.028,-112.9419,148.0
38.028,-112.9424,148.2
38.028,-112.9428,144.9
38.028,-112.9433,139.1
38.028,-112.9438,129.6
38.028,-112.9443,115.1
38.028,-112.9447,108.4
38.028,-112.9452,103.8
38.028,-112.9457,102.1
38.028,-112.9462,100.4
38.028,-112.9466,95.8
38.028,-112.9471,92.3
38.028,-112.9476,88.1
38.028,-112.9481,87.8
38.028,-112.9485,87.9
38.028,-112.949,86.3
38.028,-112.9495,80.0
38.028,-112.95,75.8
38.0279,-112.9504,68.0
38.0279,-112.9509,67.1
38.0279,-112.9514,62.6
38.0279,-112.9518,56.5
38.0279,-112.9523,53.8
38.0279,-112.9528,47.5
38.0279,-112.9533,43.7
38.0279,-112.9537,37.2
38.0279,-112.9542,33.2
38.0279,-112.9547,25.5
38.0279,-112.9552,19.7
38.0279,-112.9556,12.1
38.0279,-112.9561,4.1
38.0279,-112.9566,-4.0
38.0279,-112.9571,-14.5
38.0279,-112.9575,-23.2
38.0279,-112.958,-32.8
38.0279,-112.9585,-41.3
38.0279,-112.959,-52.8
38.0279,-112.9594,-61.5
38.0279,-112.9599,-68.6
38.0279,-112.9604,-75.1
38.0279,-112.9609,-79.7
38.0279,-112.9613,-81.7
38.0279,-112.9618,-80.3
38.0279,-112.9623,-77.2
38.0279,-112.9628,-76.5
38.0279,-112.9632,-81.7
38.0279,-112.9637,-91.9
38.0279,-112.9642,-105.0
38.0279,-112.9647,-115.4
38.0279,-112.9651,-117.7
38.0279,-112.9656,-114.2
38.0279,-112.9661,-103.2
38.0279,-112.9666,-90.7
38.0279,-112.967,-73.7
38.0279,-112.9675,-57.9
38.0279,-112.968,-52.9
38.0279,-112.9685,-56.5
38.0279,-112.9689,-63.6
38.0279,-112.9694,-77.7
38.0279,-112.9699,-87.7
38.0278,-112.9704,-90.8
38.0278,-112.9708,-90.7
38.0278,-112.9713,-86.5
38.0278,-112.9718,-83.3
38.0278,-112.9723,-85.5
38.0278,-112.9727,-87.7
38.0278,-112.9732,-87.6
38.0278,-112.9737,-88.3
38.0278,-112.9742,-84.3
38.0278,-112.9746,-86.4
38.0278,-112.9751,-88.7
